,date,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
2020-07-05,20200705.0,173402.0,1361238.0,591.0,0.0,20237.0,0.0,0.0,0.0,0.0,30660.0,15211.0,20237.0,0.0,0.0,0.0,173402.0,13355.0,0.0,34.0,0.0,0.0,1534640.0,1534640.0,26092.0,1534640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-06,20200706.0,173611.0,1375598.0,591.0,0.0,20237.0,0.0,0.0,0.0,0.0,30729.0,15229.0,20237.0,0.0,0.0,0.0,173611.0,13373.0,0.0,34.0,0.0,0.0,1549209.0,1549209.0,14569.0,1549209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-07,20200707.0,173878.0,1386255.0,591.0,0.0,20246.0,0.0,0.0,0.0,0.0,30774.0,15281.0,20246.0,0.0,0.0,0.0,173878.0,13425.0,0.0,34.0,0.0,0.0,1560133.0,1560133.0,10924.0,1560133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-08,20200708.0,174039.0,1403809.0,591.0,0.0,20426.0,0.0,0.0,0.0,0.0,30844.0,15423.0,20426.0,0.0,0.0,0.0,174039.0,13476.0,0.0,34.0,0.0,0.0,1577848.0,1577848.0,17715.0,1577848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-09,20200709.0,174240.0,1425177.0,591.0,0.0,20505.0,0.0,0.0,0.0,0.0,30938.0,15448.0,20505.0,0.0,0.0,0.0,174240.0,13501.0,0.0,34.0,0.0,0.0,1599417.0,1599417.0,21569.0,1599417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-10,20200710.0,174628.0,1448530.0,591.0,0.0,20567.0,0.0,0.0,0.0,0.0,31014.0,15479.0,20567.0,0.0,0.0,0.0,174628.0,13532.0,0.0,34.0,0.0,0.0,1623158.0,1623158.0,23741.0,1623158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-11,20200711.0,174959.0,1486325.0,591.0,0.0,20632.0,0.0,0.0,0.0,0.0,31092.0,15525.0,20632.0,0.0,0.0,0.0,174959.0,13578.0,0.0,34.0,0.0,0.0,1661284.0,1661284.0,38126.0,1661284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-12,20200712.0,175298.0,1510306.0,591.0,0.0,20632.0,0.0,0.0,0.0,0.0,31190.0,15541.0,20632.0,0.0,0.0,0.0,175298.0,13594.0,0.0,34.0,0.0,0.0,1685604.0,1685604.0,24320.0,1685604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-13,20200713.0,175522.0,1524863.0,591.0,0.0,20632.0,0.0,0.0,0.0,0.0,31261.0,15560.0,20632.0,0.0,0.0,0.0,175522.0,13613.0,0.0,34.0,0.0,0.0,1700385.0,1700385.0,14781.0,1700385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-14,20200714.0,175915.0,1545316.0,591.0,0.0,20632.0,0.0,0.0,0.0,0.0,31318.0,15582.0,20632.0,0.0,0.0,0.0,175915.0,13635.0,0.0,34.0,0.0,0.0,1721231.0,1721231.0,20846.0,1721231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-15,20200715.0,176278.0,1566069.0,591.0,0.0,20774.0,0.0,0.0,0.0,0.0,31400.0,15607.0,20774.0,0.0,0.0,0.0,176278.0,13660.0,0.0,34.0,0.0,0.0,1742347.0,1742347.0,21116.0,1742347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-16,20200716.0,176501.0,1583403.0,591.0,0.0,20774.0,0.0,0.0,0.0,0.0,31400.0,15665.0,20774.0,0.0,0.0,0.0,176501.0,13691.0,0.0,34.0,0.0,0.0,1759904.0,1759904.0,17557.0,1759904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-17,20200717.0,176551.0,1592377.0,591.0,0.0,21003.0,0.0,0.0,0.0,0.0,31400.0,15684.0,21003.0,0.0,0.0,0.0,176551.0,13710.0,0.0,34.0,0.0,0.0,1768928.0,1768928.0,9024.0,1768928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-18,20200718.0,176814.0,1604636.0,591.0,0.0,21064.0,0.0,0.0,0.0,0.0,31400.0,15699.0,21064.0,0.0,0.0,0.0,176814.0,13725.0,0.0,34.0,0.0,0.0,1781450.0,1781450.0,12522.0,1781450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-19,20200719.0,176783.0,1614354.0,591.0,0.0,21064.0,0.0,0.0,0.0,0.0,31405.0,15706.0,21064.0,0.0,0.0,0.0,176783.0,13732.0,0.0,34.0,-31.0,0.0,1791137.0,1791137.0,9687.0,1791137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-20,20200720.0,176963.0,1625911.0,591.0,0.0,21058.0,0.0,0.0,0.0,0.0,31448.0,15715.0,21058.0,0.0,0.0,0.0,176963.0,13741.0,0.0,34.0,180.0,0.0,1802874.0,1802874.0,11737.0,1802874.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-21,20200721.0,177256.0,1640699.0,591.0,0.0,21099.0,0.0,0.0,0.0,0.0,31781.0,15737.0,21099.0,0.0,0.0,0.0,177256.0,13763.0,0.0,34.0,293.0,0.0,1817955.0,1817955.0,15081.0,1817955.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-22,20200722.0,177645.0,1663284.0,591.0,0.0,21184.0,0.0,0.0,0.0,0.0,31850.0,15707.0,21184.0,0.0,0.0,0.0,177645.0,13787.0,0.0,34.0,389.0,0.0,1840929.0,1840929.0,22974.0,1840929.0,-30.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-23,20200723.0,177887.0,1681751.0,591.0,0.0,21184.0,0.0,0.0,0.0,0.0,31925.0,15730.0,21184.0,0.0,0.0,0.0,177887.0,13810.0,0.0,34.0,242.0,0.0,1859638.0,1859638.0,18709.0,1859638.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-24,20200724.0,178345.0,1709299.0,591.0,0.0,21184.0,0.0,0.0,0.0,0.0,32001.0,15765.0,21184.0,0.0,0.0,0.0,178345.0,13845.0,0.0,34.0,458.0,0.0,1887644.0,1887644.0,28006.0,1887644.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-25,20200725.0,178858.0,1709299.0,591.0,0.0,21314.0,0.0,0.0,0.0,0.0,32061.0,15776.0,21314.0,0.0,0.0,0.0,178858.0,13856.0,0.0,34.0,513.0,0.0,1888157.0,1888157.0,513.0,1888157.0,11.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-26,20200726.0,179363.0,1773926.0,591.0,0.0,21314.0,0.0,0.0,0.0,0.0,32133.0,15787.0,21314.0,0.0,0.0,0.0,179363.0,13867.0,0.0,34.0,505.0,0.0,1953289.0,1953289.0,65132.0,1953289.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-27,20200727.0,179812.0,1804029.0,591.0,0.0,21321.0,0.0,0.0,0.0,0.0,32275.0,15804.0,21321.0,0.0,0.0,0.0,179812.0,13884.0,0.0,34.0,449.0,0.0,1983841.0,1983841.0,30552.0,1983841.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-28,20200728.0,180295.0,1804009.0,591.0,0.0,21321.0,112.0,0.0,0.0,0.0,32313.0,15825.0,21321.0,0.0,0.0,0.0,180295.0,13905.0,0.0,34.0,483.0,-20.0,1984304.0,1984304.0,463.0,1984304.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-29,20200729.0,180766.0,1861916.0,591.0,0.0,21321.0,116.0,0.0,0.0,0.0,32365.0,15798.0,21321.0,0.0,0.0,0.0,180766.0,13923.0,0.0,34.0,471.0,57907.0,2042682.0,2042682.0,58378.0,2042682.0,-27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-30,20200730.0,180970.0,1878594.0,591.0,0.0,21565.0,123.0,0.0,0.0,0.0,32423.0,15809.0,21565.0,0.0,0.0,0.0,180970.0,13934.0,0.0,34.0,204.0,16678.0,2059564.0,2059564.0,16882.0,2059564.0,11.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,20200731.0,181660.0,1914669.0,591.0,0.0,21565.0,113.0,0.0,45.0,0.0,32475.0,15819.0,21565.0,0.0,0.0,0.0,181660.0,13944.0,0.0,34.0,690.0,36075.0,2096329.0,2096329.0,36765.0,2096329.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,20200801.0,182029.0,1914669.0,591.0,0.0,21565.0,113.0,0.0,45.0,0.0,32475.0,15830.0,21565.0,0.0,0.0,0.0,182029.0,13955.0,0.0,34.0,369.0,0.0,2096698.0,2096698.0,369.0,2096698.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-02,20200802.0,182350.0,1963528.0,591.0,0.0,21565.0,113.0,0.0,45.0,0.0,32475.0,15836.0,21565.0,0.0,0.0,0.0,182350.0,13961.0,0.0,34.0,321.0,48859.0,2145878.0,2145878.0,49180.0,2145878.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-03,20200803.0,182614.0,1981966.0,591.0,0.0,21565.0,144.0,0.0,49.0,0.0,32660.0,15846.0,21565.0,0.0,0.0,0.0,182614.0,13971.0,0.0,34.0,264.0,18438.0,2164580.0,2164580.0,18702.0,2164580.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-04,20200804.0,182970.0,1981966.0,591.0,470.0,21565.0,126.0,0.0,53.0,0.0,32697.0,15857.0,21565.0,0.0,0.0,0.0,182970.0,13982.0,0.0,34.0,356.0,0.0,2164936.0,2164936.0,356.0,2164936.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-05,20200805.0,183327.0,2003691.0,591.0,784.0,21565.0,117.0,0.0,47.0,0.0,32749.0,15842.0,21565.0,0.0,0.0,0.0,183327.0,13989.0,1853.0,34.0,357.0,21725.0,2187018.0,2187018.0,22082.0,2187018.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-06,20200805.0,183327.0,2003691.0,591.0,784.0,21565.0,117.0,0.0,47.0,0.0,32749.0,15842.0,21565.0,0.0,0.0,0.0,183327.0,13989.0,1853.0,34.0,357.0,21725.0,2187018.0,2187018.0,22082.0,2187018.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
